Lon	Lat	x wind (m/s)	y wind (m/s)
116.950000	31.850000	0.778279	-1.480305
117.000000	31.850000	0.540364	-0.091539
117.050000	31.850000	-0.760252	-0.693595
117.100000	31.850000	1.281458	-0.809738
117.150000	31.850000	-1.236818	0.214686
117.200000	31.850000	2.010772	0.025554
117.250000	31.850000	0.308299	-0.938247
117.300000	31.850000	1.674216	0.124988
117.350000	31.850000	0.530101	-0.952068
117.400000	31.850000	0.854043	0.389146
117.450000	31.850000	-1.156001	0.039740
117.500000	31.850000	-0.450599	0.109248
117.550000	31.850000	-0.250553	-0.189902
117.600000	31.850000	-1.032914	-0.323292
116.900000	31.900000	0.766527	1.744673
116.950000	31.900000	-1.160520	2.377412
117.000000	31.900000	1.526078	0.168508
117.050000	31.900000	-0.301207	-0.698654
117.100000	31.900000	0.832771	-0.694605
117.150000	31.900000	-0.461883	0.883617
117.200000	31.900000	0.435944	0.896747
117.250000	31.900000	0.504732	-0.400897
117.300000	31.900000	-0.513848	0.796368
117.350000	31.900000	-0.671190	1.186659
117.400000	31.900000	0.790702	0.287721
117.450000	31.900000	0.003226	0.365617
117.500000	31.900000	3.526678	-0.112437
117.550000	31.900000	-1.556594	1.915102
117.600000	31.900000	0.609846	-0.647912
116.900000	31.950000	2.617335	0.550950
116.950000	31.950000	0.294204	-0.777844
117.000000	31.950000	-1.064930	-1.768414
117.050000	31.950000	-0.422920	-1.053102
117.100000	31.950000	0.647755	-0.317628
117.150000	31.950000	1.768992	1.510582
117.200000	31.950000	0.164010	-0.282764
117.250000	31.950000	1.152166	-1.146508
117.300000	31.950000	0.673699	-0.669113
117.350000	31.950000	-0.400323	-0.671802
117.400000	31.950000	0.575629	-0.778094
117.450000	31.950000	-1.063561	0.552978
117.500000	31.950000	-0.423429	0.361587
117.550000	31.950000	-0.351889	0.269541
117.600000	31.950000	-2.564449	0.465864
116.900000	32.000000	1.853561	1.039289
116.950000	32.000000	0.910897	-0.239731
117.000000	32.000000	0.180998	0.244250
117.050000	32.000000	0.096393	-0.830468
117.100000	32.000000	-0.352252	-0.174775
117.150000	32.000000	-0.480653	0.836837
117.200000	32.000000	2.538349	-1.323334
117.250000	32.000000	0.128340	-1.442379
117.300000	32.000000	1.302508	1.409912
117.350000	32.000000	-1.662543	1.943684
117.400000	32.000000	-1.084698	0.226819
117.450000	32.000000	1.098929	0.147189
117.500000	32.000000	2.295666	2.752558
117.550000	32.000000	0.138318	-1.907066
117.600000	32.000000	-0.364993	-0.848110
116.900000	32.050000	-0.764753	-1.127695
116.950000	32.050000	0.078189	2.106630
117.000000	32.050000	-0.715847	-0.280516
117.050000	32.050000	1.166475	1.212821
117.100000	32.050000	0.485541	1.026016
117.150000	32.050000	0.870726	-0.381758
117.200000	32.050000	0.428893	-0.299131
117.250000	32.050000	-0.899869	0.634745
117.300000	32.050000	0.067454	-0.187121
117.350000	32.050000	0.291727	0.987695
117.400000	32.050000	0.392935	0.194551
117.450000	32.050000	0.279785	0.051220
117.500000	32.050000	-0.774466	0.786782
117.550000	32.050000	1.408907	-0.534099
117.600000	32.050000	1.927758	-0.176248
116.900000	32.100000	-0.243750	-0.897601
116.950000	32.100000	-0.792337	-0.952975
117.000000	32.100000	0.353905	1.597026
117.050000	32.100000	0.527470	0.854202
117.100000	32.100000	1.341847	-2.499533
117.150000	32.100000	-0.167559	0.353015
117.200000	32.100000	0.717254	-1.304852
117.250000	32.100000	-1.005869	0.790683
117.300000	32.100000	-0.116571	0.553090
117.350000	32.100000	-0.960645	-1.633802
117.400000	32.100000	0.761200	1.193307
117.450000	32.100000	1.632057	-1.532190
117.500000	32.100000	-1.336852	-1.473846
117.550000	32.100000	-0.041663	-0.615507
117.600000	32.100000	1.314155	-1.455067
